About,Rating,Company,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
IT Services & Consulting | Hyderabad +32 other locations,2000.0,YASH Technologies,2000.0,16300.0,176.0,508.0,181.0,35.0
IT Services & Consulting | Hyderabad +21 other locations,2200.0,ValueLabs,2200.0,16300.0,218.0,72.0,271.0,12.0
Automobile | Gurugram +373 other locations,5500.0,Hero MotoCorp,5500.0,16200.0,426.0,2.0,602.0,10.0
Pharma | Mumbai +139 other locations,4300.0,Macleods Pharmaceuticals,4300.0,16000.0,276.0,29.0,340.0,3.0
Iron & Steel | Angul +176 other locations,4200.0,Jindal Steel Limited,4200.0,16000.0,443.0,75.0,344.0,37.0
Electrical Equipment | Noida +266 other locations,4700.0,Havells,4700.0,16000.0,305.0,32.0,327.0,13.0
Internet | Gurugram +172 other locations,4600.0,Cars24,4600.0,15900.0,417.0,104.0,418.0,18.0
IT Services & Consulting | Bengaluru +36 other locations,2100.0,Infinite Computer Solutions,2100.0,15900.0,180.0,198.0,112.0,19.0
Engineering & Construction | Bengaluru +80 other locations,3300.0,Alstom Transportation,3300.0,15800.0,288.0,234.0,185.0,8.0
Industrial Machinery | Pune +157 other locations,4100.0,John Deere,4100.0,15700.0,273.0,4.0,435.0,12.0
Financial Services | Gurugram +448 other locations,5400.0,SBI Cards & Payment Services,5400.0,15700.0,323.0,104.0,363.0,14.0
Industrial Machinery | Pune +115 other locations,4000.0,Cummins,4000.0,15700.0,294.0,139.0,465.0,16.0
Automobile | Chennai +130 other locations,3400.0,Ford Motor,3400.0,15600.0,178.0,5.0,404.0,12.0
Electronics Manufacturing | Chennai +46 other locations,2700.0,Flex,2700.0,15600.0,215.0,53.0,440.0,14.0
NBFC | Chennai +1122 other locations,9200.0,Shriram Finance,9200.0,15600.0,463.0,3.0,52.0,46.0
Pharma | Vadodara +188 other locations,4000.0,Alembic Pharmaceuticals,4000.0,15500.0,268.0,60.0,388.0,9.0
Engineering & Construction | Mumbai +190 other locations,5800.0,Shapoorji Pallonji Group,5800.0,15500.0,448.0,39.0,654.0,14.0
Internet | Gurugram +220 other locations,3000.0,Eternal Limited,3000.0,15500.0,368.0,20.0,224.0,12.0
Pharma | Hyderabad +72 other locations,4600.0,Hetero,4600.0,15400.0,386.0,92.0,358.0,15.0
IT Services & Consulting | Chennai +38 other locations,2700.0,Movate,2700.0,15300.0,297.0,145.0,9.0,24.0
Consumer Electronics & Appliances | Mumbai +174 other locations,3700.0,Godrej & Boyce Manufacturing,3700.0,15300.0,243.0,37.0,416.0,3.0
Internet | Noida +238 other locations,5200.0,JustDial,5200.0,15300.0,398.0,35.0,380.0,9.0
Semiconductors | Hyderabad +18 other locations,1200.0,Qualcomm,1200.0,15300.0,300.0,50.0,135.0,2.0
Automobile | Chennai +375 other locations,4100.0,Royal Enfield,4100.0,15200.0,207.0,,404.0,39.0
IT Services & Consulting | Mumbai +105 other locations,2200.0,Jio Platforms,2200.0,15100.0,271.0,,66.0,
Analytics & KPO | Chennai +64 other locations,3400.0,AGS Health,3400.0,15100.0,222.0,58.0,281.0,
Automobile | Chennai +21 other locations,2200.0,Renault Nissan Technology & Business Centre India,2200.0,15100.0,157.0,19.0,212.0,
IT Services & Consulting | Mumbai +17 other locations,2100.0,CitiusTech,2100.0,14800.0,322.0,8.0,172.0,15.0
Insurance | Bengaluru +30 other locations,2700.0,Gallagher,2700.0,14800.0,281.0,117.0,131.0,1.0
Automobile | Pune +326 other locations,4200.0,Bajaj Auto,4200.0,14800.0,336.0,40.0,503.0,19.0
Internet | Bengaluru +366 other locations,5700.0,Udaan,5700.0,14700.0,376.0,,762.0,16.0
Automobile | Chennai +293 other locations,4500.0,Hyundai Motor India Limited,4500.0,14500.0,332.0,9.0,529.0,31.0
NBFC | Mumbai +351 other locations,3900.0,Aditya Birla Capital,3900.0,14500.0,269.0,,226.0,30.0
Software Product | Hyderabad +41 other locations,1200.0,Salesforce,1200.0,14500.0,252.0,315.0,105.0,18.0
Banking | Bengaluru +427 other locations,7700.0,Jana Small Finance Bank,7700.0,14500.0,312.0,128.0,641.0,18.0
Agro Chemicals | Bharuch +60 other locations,3700.0,Aarti Industries,3700.0,14500.0,338.0,87.0,362.0,6.0
